"Task ID","Root Entity","Size of ontology TBox","Size of ontology ABox","Task Type","Answer Type","SPARQL Query","Predicate","Answer","Min Tag Length","Max Tag Length"
"2hop-AnchoviesTopping_AnchoviesTopping_dynamic_1_AnchoviesTopping_dynamic_1-AnchoviesTopping_dynamic_1-isToppingOf-MC","AnchoviesTopping_AnchoviesTopping_dynamic_1",117,41,"Property Assertion","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> ?x }","isToppingOf","Capricciosa_0; Capricciosa_22; Capricciosa_27; Capricciosa_29; Capricciosa_32; FourSeasons_26; FourSeasons_43; FourSeasons_67; FourSeasons_71; FourSeasons_77; FourSeasons_88; FourSeasons_92; FourSeasons_94; Napoletana_2; Napoletana_21; Napoletana_25; Napoletana_27; Napoletana_29; Napoletana_30; Napoletana_51; Napoletana_53; Napoletana_6; Napoletana_84; Siciliana_13; Siciliana_40; Siciliana_45; Siciliana_47; Siciliana_5; Siciliana_54; Siciliana_61",2,2
"2hop-AnchoviesTopping_AnchoviesTopping_dynamic_1_AnchoviesTopping_dynamic_1-AnchoviesTopping_dynamic_1-isToppingOf-Capricciosa_0-BIN","AnchoviesTopping_AnchoviesTopping_dynamic_1",117,41,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#Capricciosa_0> }","isToppingOf","TRUE",2,2
"2hop-AnchoviesTopping_AnchoviesTopping_dynamic_1_AnchoviesTopping_dynamic_1-AnchoviesTopping_dynamic_1-isToppingOf-AnchoviesTopping_dynamic_1-NEG-BIN","AnchoviesTopping_AnchoviesTopping_dynamic_1",117,41,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> }","isToppingOf","FALSE",2,2
"2hop-AnchoviesTopping_AnchoviesTopping_dynamic_1_AnchoviesTopping_dynamic_1-AnchoviesTopping_dynamic_1-rdf:type-FishTopping-BIN","AnchoviesTopping_AnchoviesTopping_dynamic_1",117,41,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#FishTopping> }","rdf:type","TRUE",2,2
"2hop-AnchoviesTopping_AnchoviesTopping_dynamic_1_AnchoviesTopping_dynamic_1-AnchoviesTopping_dynamic_1-rdf:type-American-NEG-BIN","AnchoviesTopping_AnchoviesTopping_dynamic_1",117,41,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }","rdf:type","FALSE",2,2
"2hop-AnchoviesTopping_AnchoviesTopping_dynamic_1_AnchoviesTopping_dynamic_1-AnchoviesTopping_dynamic_1-rdf:type-MC","AnchoviesTopping_AnchoviesTopping_dynamic_1",117,41,"Membership","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }","rdf:type","DomainConcept; FishTopping; Food; PizzaTopping",2,2
"2hop-ArtichokeTopping_ArtichokeTopping_dynamic_1_ArtichokeTopping_dynamic_1-ArtichokeTopping_dynamic_1-rdf:type-MC","ArtichokeTopping_ArtichokeTopping_dynamic_1",117,14,"Membership","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#ArtichokeTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }","rdf:type","DomainConcept; Food; PizzaTopping; VegetableTopping",2,2
"2hop-ArtichokeTopping_ArtichokeTopping_dynamic_1_ArtichokeTopping_dynamic_1-ArtichokeTopping_dynamic_1-isToppingOf-MC","ArtichokeTopping_ArtichokeTopping_dynamic_1",117,14,"Property Assertion","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#ArtichokeTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> ?x }","isToppingOf","Siciliana_13; Siciliana_40; Siciliana_45; Siciliana_47; Siciliana_5; Siciliana_54; Siciliana_61",2,2
"2hop-ArtichokeTopping_ArtichokeTopping_dynamic_1_ArtichokeTopping_dynamic_1-ArtichokeTopping_dynamic_1-isToppingOf-Siciliana_13-BIN","ArtichokeTopping_ArtichokeTopping_dynamic_1",117,14,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#ArtichokeTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#Siciliana_13> }","isToppingOf","TRUE",2,2
"2hop-ArtichokeTopping_ArtichokeTopping_dynamic_1_ArtichokeTopping_dynamic_1-ArtichokeTopping_dynamic_1-isToppingOf-AnchoviesTopping_dynamic_1-NEG-BIN","ArtichokeTopping_ArtichokeTopping_dynamic_1",117,14,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#ArtichokeTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> }","isToppingOf","FALSE",2,2
