"Task ID","Root Entity","Size of ontology TBox","Size of ontology ABox","Task Type","Answer Type","SPARQL Query","Predicate","Answer","Min Tag Length","Max Tag Length"
"2hop-AnchoviesTopping_AnchoviesTopping_dynamic_1_AnchoviesTopping_dynamic_1-AnchoviesTopping_dynamic_1-isToppingOf-MC","AnchoviesTopping_AnchoviesTopping_dynamic_1",117,63,"Property Assertion","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> ?x }","isToppingOf","Capricciosa_101; Capricciosa_117; Capricciosa_119; Capricciosa_125; Capricciosa_159; Capricciosa_16; Capricciosa_202; Capricciosa_212; Capricciosa_216; Capricciosa_46; Capricciosa_47; Capricciosa_57; Capricciosa_72; FourSeasons_127; FourSeasons_146; FourSeasons_171; FourSeasons_174; FourSeasons_182; FourSeasons_188; FourSeasons_190; FourSeasons_233; FourSeasons_235; FourSeasons_56; FourSeasons_62; FourSeasons_88; FourSeasons_89; FourSeasons_9; FourSeasons_90; Napoletana_102; Napoletana_126; Napoletana_151; Napoletana_169; Napoletana_189; Napoletana_195; Napoletana_203; Napoletana_211; Napoletana_248; Napoletana_83; Siciliana_0; Siciliana_109; Siciliana_113; Siciliana_154; Siciliana_157; Siciliana_164; Siciliana_167; Siciliana_196; Siciliana_220; Siciliana_247; Siciliana_42; Siciliana_44; Siciliana_52; Siciliana_6",2,2
"2hop-AnchoviesTopping_AnchoviesTopping_dynamic_1_AnchoviesTopping_dynamic_1-AnchoviesTopping_dynamic_1-rdf:type-FishTopping-BIN","AnchoviesTopping_AnchoviesTopping_dynamic_1",117,63,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#FishTopping> }","rdf:type","TRUE",2,2
"2hop-AnchoviesTopping_AnchoviesTopping_dynamic_1_AnchoviesTopping_dynamic_1-AnchoviesTopping_dynamic_1-rdf:type-American-NEG-BIN","AnchoviesTopping_AnchoviesTopping_dynamic_1",117,63,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }","rdf:type","FALSE",2,2
"2hop-AnchoviesTopping_AnchoviesTopping_dynamic_1_AnchoviesTopping_dynamic_1-AnchoviesTopping_dynamic_1-rdf:type-MC","AnchoviesTopping_AnchoviesTopping_dynamic_1",117,63,"Membership","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }","rdf:type","DomainConcept; FishTopping; Food; PizzaTopping",2,2
"2hop-AnchoviesTopping_AnchoviesTopping_dynamic_1_AnchoviesTopping_dynamic_1-AnchoviesTopping_dynamic_1-isToppingOf-Capricciosa_101-BIN","AnchoviesTopping_AnchoviesTopping_dynamic_1",117,63,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#Capricciosa_101> }","isToppingOf","TRUE",2,2
"2hop-AnchoviesTopping_AnchoviesTopping_dynamic_1_AnchoviesTopping_dynamic_1-AnchoviesTopping_dynamic_1-isToppingOf-AnchoviesTopping_dynamic_1-NEG-BIN","AnchoviesTopping_AnchoviesTopping_dynamic_1",117,63,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> }","isToppingOf","FALSE",2,2
"2hop-ArtichokeTopping_ArtichokeTopping_dynamic_1_ArtichokeTopping_dynamic_1-ArtichokeTopping_dynamic_1-isToppingOf-MC","ArtichokeTopping_ArtichokeTopping_dynamic_1",117,21,"Property Assertion","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#ArtichokeTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> ?x }","isToppingOf","Siciliana_0; Siciliana_109; Siciliana_113; Siciliana_154; Siciliana_157; Siciliana_164; Siciliana_167; Siciliana_196; Siciliana_220; Siciliana_247; Siciliana_42; Siciliana_44; Siciliana_52; Siciliana_6",2,2
"2hop-ArtichokeTopping_ArtichokeTopping_dynamic_1_ArtichokeTopping_dynamic_1-ArtichokeTopping_dynamic_1-rdf:type-MC","ArtichokeTopping_ArtichokeTopping_dynamic_1",117,21,"Membership","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#ArtichokeTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }","rdf:type","DomainConcept; Food; PizzaTopping; VegetableTopping",2,2
"2hop-ArtichokeTopping_ArtichokeTopping_dynamic_1_ArtichokeTopping_dynamic_1-ArtichokeTopping_dynamic_1-rdf:type-Food-BIN","ArtichokeTopping_ArtichokeTopping_dynamic_1",117,21,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#ArtichokeTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }","rdf:type","TRUE",4,4
"2hop-ArtichokeTopping_ArtichokeTopping_dynamic_1_ArtichokeTopping_dynamic_1-ArtichokeTopping_dynamic_1-rdf:type-American-NEG-BIN","ArtichokeTopping_ArtichokeTopping_dynamic_1",117,21,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#ArtichokeTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }","rdf:type","FALSE",4,4
